RT @ANI_news: PM Modi meets Nepal Prime Minister Pushpa Kamal Dahal at the arrival ceremony of BIMSTEC leaders https://t.co/VsT5xmdYoh	Negative
TrueBhutan follows this traditiontried to break it during a Rio meet with Chinesebut punished.Nepal resuming? Ha… https://t.co/Vt8YTQfnhg	Negative
"@usmaniqaiser @asadowaisi why Nepal?
I m a HINDUSTANI..Don't mess wid me..Get it straight into ur head."	Positive
RT @momocricket: Words are not enough. We hardly find women from Nepal (living in Nepal) achieve sporting honours like that at that level w…	Negative
RT @DatingSims: traveling to nepal https://t.co/RKe9JUX94a	Negative
RT @ndtv: PM @narendramodi meets Nepal Prime Minister Pushpa Kamal Dahal at the arrival ceremony of BIMSTEC leaders: ANI https://t.co/jVIKZ…	Negative
RT @Leopard212: Bhutan Sri Lanka Bangladesh Nepal Burma- all in Goa India. We have SAARC right here in Goa. Dub maro Pakistan!	Positive
He was the one who stick against Nepal too😁 https://t.co/XAG8vT0OVT	Negative
@anilkapoor hey sir..... big fan of urs.. all the way frm #NEPAL	Negative
RT @WaterSolarWind: Landing in Kathmandu #Nepal #Landing https://t.co/Ao5qvLt2MD	Negative
PM @narendramodi meets Nepal Prime Minister Pushpa Kamal Dahal at the arrival ceremony of BIMSTEC leaders: ANI https://t.co/jVIKZaGVDd	Negative
RT @momocricket: I have seen women in Nepal ploughing fields carrying bricks fasting for days at times all alone playing cricket has to…	Negative
RT @prashantktm: With India-China competition increasing in Nepalunprecedented moment in Goa.As Xi-Prachanda metModi dropped in.They all…	Negative
RT @ANI_news: PM Modi meets Nepal Prime Minister Pushpa Kamal Dahal at the arrival ceremony of BIMSTEC leaders https://t.co/VsT5xmdYoh	Negative
tkp: John Kerry to visit London for Syria talks https://t.co/GQJ8aiBx9w …https://t.co/HX4ft9ApDT… https://t.co/LzGJVWaZLj	Negative
